date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2013/5/21,136740,135285,131986,146879,0,130129,107301,118873,133870,0,123383,35785,0,119471,82359,0,107615,101822,113355,113462,67987,55478,56223,54086,50547,0,0,0,56560,93863,95801,93879,89121,80365,33974,86676,29356,64750,67923,71203,60534,73288,0,0,77704,66190,60863,74822,59216,65592
2013/5/26,138087,142872,142831,152929,0,134019,111722,117289,137966,0,132050,41647,0,126852,72806,0,113128,107857,111480,110888,69658,55169,59071,59560,56285,0,0,0,59922,96445,105412,91473,91566,84240,36568,86751,32510,72731,75710,76525,71467,75175,0,0,74979,62862,67236,79330,68099,77606
2013/6/1,141140,145355,141668,150615,0,131887,111410,116892,132411,0,125544,43117,0,118437,62625,0,117336,104163,117525,109598,75045,52533,59617,53676,59283,0,0,0,61602,103805,100007,90786,83072,79965,43588,83188,33864,72162,70723,71367,68580,77302,0,0,74608,69044,56986,81693,70461,77534
2013/6/6,137799,142050,133014,151091,0,135389,105507,120068,127842,0,131493,44048,0,119433,57225,0,113378,96320,108178,114797,72795,55677,57753,58263,53397,0,0,0,61297,95173,94513,94764,86859,79133,43867,82085,33192,75954,76093,75258,60400,80269,0,0,74319,61801,60027,74956,65149,67759
2013/6/11,147926,146435,147381,157143,0,140909,114077,135949,142006,0,136869,54581,0,128528,68295,0,120462,108203,120515,116133,82992,60631,65541,67205,60301,0,0,0,71151,104045,102290,96318,93661,90541,49413,90681,43425,80922,79706,83860,70366,80609,0,0,89713,78658,73318,82415,74037,77060
2013/6/16,148698,149964,143529,149587,0,136509,103687,124313,134940,0,140708,47021,0,128521,68592,0,120717,100874,123284,122085,81329,62074,59277,63185,61385,0,0,0,65773,103820,107197,93618,91858,93933,60965,95993,38661,78172,82155,84990,71232,83698,0,0,86595,73411,65026,87255,80091,77176
2013/6/21,138573,149636,144099,155456,0,134962,99648,124965,134885,0,130237,51344,0,122422,60867,0,116479,92587,117650,117047,77921,66706,56116,60708,62874,0,0,0,58446,101403,102131,93841,88782,85540,51170,88582,43608,77517,74108,78764,68565,80087,0,0,78808,72646,65164,84413,67543,80003
2013/6/26,142362,150371,142698,154341,0,140283,106596,130173,138924,0,131824,45422,0,122179,60620,0,122061,96910,111954,117865,78354,65920,59285,62494,62113,0,0,0,61410,100487,103133,101647,91198,91615,64490,91760,40125,77201,80220,77803,72754,76384,0,0,79858,72036,63148,82676,76546,72657
2013/7/1,142619,145943,141699,151134,0,142381,110055,128365,134702,0,136988,48935,0,128682,65691,0,115999,88004,117843,121524,86027,65858,68200,66858,68287,0,0,0,60635,106402,106476,95536,87021,85448,64543,92231,45798,81691,87168,79204,68454,85881,0,0,78172,74585,74933,86511,69422,77414
2013/7/6,152462,159958,154469,161410,0,144359,103720,137556,142891,0,138001,55798,0,139795,66654,0,130797,96035,128244,126517,83816,75199,76277,71303,73824,0,0,0,67451,108743,110623,98848,97490,100985,65489,97367,46542,84854,93472,86213,76854,95627,0,0,85361,71999,72821,97411,84734,79504
2013/7/11,139713,146372,145451,153080,0,149663,101299,136027,138108,0,137225,52447,0,132054,65564,0,126920,90545,124675,120340,82023,70296,68668,65967,72334,0,0,0,71641,106344,105680,100636,81256,96424,70678,97646,49332,90360,90765,90514,78143,81847,0,0,81146,72198,71330,87483,74926,77657
2013/7/16,138938,153009,141082,150413,0,133824,101419,135846,138915,0,128989,50850,0,126302,65887,0,115481,89810,124294,118794,79660,77661,74048,63892,60469,0,0,0,67778,107933,100174,97092,80235,95255,64769,88739,42594,83303,84423,77120,75092,77141,0,0,78145,80065,73587,84249,68643,76987
2013/7/21,150863,150941,157578,153621,0,140792,104508,140205,139321,0,134269,55503,0,128599,66097,0,122617,82083,128303,116943,84384,79070,76584,79439,77291,0,0,0,72061,106972,112707,102469,79997,96918,74932,99353,53525,95508,90455,88361,84777,82062,0,0,83982,76790,83729,93385,84513,83882
2013/7/26,146983,146382,146532,150008,0,142544,96246,137595,138627,0,139710,61049,0,130833,64737,0,118500,78693,123698,118531,84643,82307,75184,73268,67618,0,0,0,78252,104485,109758,100003,84148,97090,84138,93793,44010,93281,87057,87010,77616,81852,0,0,89195,81605,78884,82653,85205,85645
2013/8/1,145409,147555,147234,159465,0,145636,98834,139972,135421,0,134114,60681,0,123099,63931,0,114399,81382,116703,126192,83000,87963,75966,70005,68979,0,0,0,74311,106698,113055,107177,76366,91405,72075,94421,51231,88048,78384,86383,72981,79459,0,0,86396,74312,67908,94255,81313,81110
2013/8/6,150124,152428,159463,161948,0,145195,96968,144850,152157,0,134704,66425,0,128711,78066,0,124235,80684,130975,125988,86119,84690,80753,76405,79942,0,0,0,80523,107332,114552,99631,73576,92414,91645,104624,58223,91979,89124,95590,83470,86068,0,0,90300,76062,88866,94095,88205,81599
2013/8/11,139235,157355,148524,151587,0,144177,94888,141983,144397,0,115758,68660,0,130323,64079,0,127829,77265,127541,118645,95069,95738,87168,83745,77167,0,0,0,82182,115290,105141,110527,73192,90553,87847,102859,46382,98798,91451,84514,77947,91144,0,0,99402,82306,85556,86970,83073,84783
2013/8/16,142890,157773,148352,154496,0,150633,104347,145538,153332,0,115267,62684,0,138093,64015,0,122883,72218,123882,121283,88701,98695,86880,78915,79137,0,0,0,82681,106606,111331,105287,81108,98581,82483,108486,47949,93792,92379,84969,76414,87399,0,0,90760,79124,82362,97714,83434,91801
2013/8/21,154328,154680,150508,151340,0,138422,104104,146653,151415,0,95918,59188,0,137472,64661,0,118786,76180,118982,122008,90924,95760,91864,89181,90381,0,0,0,87055,113695,117008,101903,69441,102633,88765,94604,48894,93495,89036,84735,88470,87395,0,0,96316,86970,78733,86177,85103,79158
2013/8/26,143253,149006,150865,154881,0,139009,86727,139117,136290,0,80841,60441,0,131410,61319,0,122480,74910,119934,118595,90120,90976,93787,89079,82135,0,0,0,74767,105765,103899,100297,70556,93290,85774,95837,54609,83674,86895,80143,82613,82318,0,0,84409,74846,71438,88214,82917,85508
2013/9/1,142023,150543,147923,153375,0,141795,90213,143973,141595,0,70854,57608,0,129911,64644,0,117565,70642,123886,118063,84192,92493,99351,87726,81438,0,0,0,81524,110620,103406,104239,66313,86346,86586,92561,46415,88792,80560,84252,80664,79523,0,0,88866,83190,72916,88584,80790,85456
2013/9/6,148021,148007,150714,144048,0,136976,82611,133335,143331,0,68272,59922,0,124058,63398,0,114370,63818,121874,117323,89821,97686,90214,90880,88014,0,0,0,73570,108497,97289,95401,71117,93390,80489,95443,42587,89681,83023,83406,72509,83437,0,0,78865,76843,72299,90491,78649,72927
2013/9/11,146209,147497,148096,147040,0,134833,87933,138738,144529,0,60131,68000,0,134970,70939,0,120234,63935,118001,123101,83983,103257,104085,96550,94388,0,0,0,85945,107922,100744,106034,63986,87169,82208,100660,51667,97110,84545,84572,86433,87875,0,0,83944,78514,76848,92087,85973,76297
2013/9/16,141495,144438,141278,144802,0,131335,84114,133155,132936,0,57681,52634,0,120049,55818,0,102512,59894,115941,116162,80888,90113,87929,81099,78315,0,0,0,80137,95705,99598,88465,57736,81423,82295,90066,41377,81962,84004,72145,74745,73441,0,0,72309,73844,71121,79053,67306,69241
2013/9/21,143965,144212,146496,149473,0,135103,85111,134045,141637,0,53014,66336,0,128348,59584,0,109457,58042,113095,120117,85780,103260,100565,88896,88687,0,0,0,85971,103862,99978,98321,57610,93942,82071,95485,48835,86717,82735,74326,69872,75071,0,0,78561,75132,66820,82463,74344,78504
2013/9/26,130632,131158,138271,138859,0,122658,72452,128828,132843,0,48089,53597,0,119091,55203,0,105370,60814,111068,110974,81526,89181,90292,88369,78257,0,0,0,79810,98801,96569,95187,54772,77027,81676,84952,43964,79266,76333,77328,66890,74001,0,0,72855,66100,65528,75440,70412,68308
2013/10/1,142872,139121,138858,136473,0,128151,72473,131650,127863,0,49259,55717,0,123128,58930,0,104757,56515,114563,109595,84362,102228,101210,95105,87887,0,0,0,76290,97231,92800,97901,52789,80462,77456,90987,44747,81063,75897,73835,71561,79393,0,0,76633,73136,74477,82591,75080,70942
2013/10/6,145730,141478,152000,148704,0,132850,77118,146650,141985,0,56952,60626,0,122631,63418,0,114050,62105,119218,117671,88603,108070,106349,93299,98363,0,0,0,90639,107930,98335,95424,66418,85272,83601,97324,49740,90223,88155,81607,78770,79672,0,0,83527,73898,70455,87992,81776,79383
2013/10/11,133638,136317,143835,134582,0,124358,71972,133884,130534,0,54957,58071,0,118335,55260,0,99550,59186,108477,112119,77675,95629,98919,87831,88898,0,0,0,81357,98040,91164,89304,52527,85245,83754,90914,42392,82793,74311,72488,68748,73003,0,0,72728,72412,69238,74419,68166,73560
2013/10/16,135048,128494,139064,130353,0,115010,68634,135888,125900,0,47226,56609,0,118623,57635,0,102501,54910,102639,106250,78010,100861,95370,91276,90146,0,0,0,84969,93643,89550,86586,51954,78932,83206,88192,41017,78070,75791,74053,67361,70150,0,0,76350,70164,66756,78070,67207,66029
2013/10/21,137198,127876,146700,132896,0,124714,77782,134284,129846,0,51668,60758,0,118735,61718,0,106980,57118,107440,115566,83607,101328,99814,95584,93793,0,0,0,86336,101283,92720,91358,56753,82651,84495,90631,46157,85113,83203,74626,71458,78525,0,0,79458,71106,72830,78343,71461,75854
2013/10/26,135572,120111,136701,129168,0,110746,71166,133745,130005,0,44602,53917,0,113154,58368,0,97473,50614,99258,108815,76056,95522,99715,89219,86967,0,0,0,80511,91880,86064,90924,49282,76354,76906,83770,38872,79490,74652,71993,68853,73006,0,0,72403,69329,65236,71552,65026,68181
2013/11/1,131101,114439,135062,128077,0,109045,67258,133590,125813,0,49613,56870,0,113925,59458,0,95081,54663,94518,106256,81454,100347,96054,91170,92474,0,0,0,81196,91903,86040,86712,52810,74814,80255,80958,40452,78862,74601,70946,69470,74461,0,0,71841,69689,63103,74254,68542,66711
2013/11/6,135183,104893,134813,124953,0,109074,66128,131995,129620,0,47074,60693,0,111385,62160,0,95718,55379,95059,107578,79087,100640,99201,93176,93174,0,0,0,82792,93175,81833,86249,50167,76846,78899,82840,44163,78458,75739,73545,67316,72838,0,0,69544,65626,68540,76000,70341,65282
2013/11/11,127740,92784,129513,118436,0,101801,58926,126475,119797,0,42221,52175,0,101053,55488,0,87728,46965,84349,100970,74838,93170,91983,87945,86175,0,0,0,78953,87682,76608,80449,44574,65757,72575,76493,35587,72449,68748,65615,60133,65462,0,0,64770,60309,60008,69081,60905,60272
2013/11/16,124857,82226,129493,114495,0,93980,55770,123263,117630,0,38877,49471,0,96951,55455,0,85710,44566,77163,98992,72942,92970,90784,85617,83216,0,0,0,78162,85362,71916,81025,43155,57340,73665,75240,33056,71026,66095,61117,59581,62220,0,0,61756,59366,56347,65415,60649,56765
2013/11/21,128023,78071,132181,115779,0,96745,59365,126583,121084,0,41050,56010,0,99283,61090,0,87989,48764,77108,103880,74491,97142,93722,92566,88491,0,0,0,80340,88946,74215,81680,45294,55235,76405,77646,37536,74614,70021,64985,63947,66565,0,0,66029,64010,61037,70540,64369,63516
2013/11/26,122443,65913,125136,107520,0,89204,54585,121896,116554,0,36202,48525,0,88948,56889,0,80798,42406,66774,95345,70023,91190,90544,84926,82703,0,0,0,75796,83533,66593,76988,39309,44744,70867,72759,32180,67753,64325,58565,57478,59287,0,0,59896,56564,56877,63629,58124,56592
2013/12/1,126319,65090,129524,111053,0,91041,57763,126938,121971,0,42408,55366,0,89215,63732,0,85800,46683,66599,102171,75116,96190,95547,91510,87175,0,0,0,82497,89089,71542,82563,45975,46786,73665,76892,38063,73879,71018,64953,62451,66107,0,0,65122,61279,61770,66714,62664,60348
2013/12/6,122168,57219,127142,104748,0,84533,52727,122287,116022,0,38482,52832,0,82203,64108,0,80584,43073,61522,98316,70800,92835,90139,88998,84921,0,0,0,79212,84664,64197,78167,40153,38608,70982,73913,34555,68667,66473,61368,57365,61058,0,0,61308,59313,57798,63485,59427,55827
2013/12/11,119203,48961,123212,98245,0,78150,48725,119527,113667,0,33714,48282,0,73752,62764,0,76427,39116,53669,93402,68312,89542,87060,85283,81000,0,0,0,76187,80299,60524,74601,37754,34442,67045,70688,30759,66111,63005,55990,55154,56544,0,0,57362,55202,54685,60119,55135,53382
2013/12/16,123073,48989,127329,100715,0,79251,52925,124729,117362,0,37512,53206,0,72847,70124,0,80621,42534,55404,98468,74022,94322,93392,89919,86044,0,0,0,80821,84917,62961,79629,41317,38748,71938,73950,36203,70905,67475,59606,59613,61351,0,0,62143,59618,58169,65263,60222,56948
2013/12/21,118203,41979,122327,93037,0,72570,47234,120089,112472,0,33311,49266,0,63604,67093,0,74420,38591,47075,93122,68315,89991,87200,85520,80872,0,0,0,75526,80222,56961,74299,37299,33049,67344,70004,31049,65328,63093,53940,53802,56729,0,0,56501,54275,54311,59820,54932,52212
2013/12/26,121452,43066,126527,94817,0,73159,50450,123195,116624,0,36033,53179,0,62472,73447,0,77300,41172,48378,96911,72937,94067,90897,89199,85443,0,0,0,80362,83643,58706,77672,40100,37020,70368,73000,34351,68523,66406,57184,58257,59349,0,0,60147,57922,58131,63655,58630,55912
2014/1/1,117563,37997,122202,89336,0,66944,46758,120590,112852,0,34287,50375,0,54543,73099,0,72947,39050,42370,93045,70117,89997,87776,86163,82425,0,0,0,76858,79295,54845,73707,36665,33402,67368,69944,31614,65402,63761,52651,54724,55854,0,0,56655,54317,54456,59409,55636,53262
2014/1/6,116075,36019,121861,83975,0,63232,44976,118675,111677,0,32448,50259,0,49554,73353,0,69761,37742,40082,92204,67526,88696,86677,84813,80650,0,0,0,75461,78204,51539,72076,35909,31335,65690,67944,30799,63851,61801,49442,53381,54996,0,0,54614,53047,53310,57356,53425,51179
2014/1/11,116807,35791,120940,81514,0,61057,45228,119153,111442,0,33322,50543,0,47088,75645,0,68969,38558,39524,91583,68750,89760,86865,85150,81432,0,0,0,75934,78036,50066,72777,35652,31468,66035,68337,30665,63881,61320,48175,53048,54687,0,0,54744,52688,53676,57424,53950,50589
2014/1/16,115613,33940,120803,78377,0,57970,43745,117715,109534,0,34046,49764,0,44397,76532,0,67393,38552,38127,90227,68279,88691,85667,84353,79624,0,0,0,75136,77523,48669,72209,34477,29841,65279,68264,30511,62645,60494,45907,51677,52731,0,0,53410,51685,53564,57088,53409,50149
2014/1/21,116885,35356,122123,78553,0,58393,44848,120618,112592,0,36346,53270,0,43889,79875,0,68241,41971,39781,92779,70422,91223,87867,86332,83523,0,0,0,77486,79829,48613,73769,36369,32210,66664,69896,32448,64941,62805,46285,55015,55322,0,0,55418,54694,55048,58258,55784,52256
2014/1/26,116973,36038,122583,75873,0,57166,44960,121165,113327,0,37799,53425,0,43114,83374,0,68266,43612,38967,94263,71574,92161,89508,87847,84037,0,0,0,78806,80801,49100,74157,37125,33410,67587,70673,33320,65539,63030,44754,55039,54587,0,0,55615,55062,55991,59153,56092,52496
2014/2/1,119342,38926,125071,75618,0,57480,47448,122879,115918,0,42427,56431,0,44524,87838,0,69257,48667,41415,94969,73376,94159,91783,89231,86673,0,0,0,80353,81793,49807,76760,39623,35714,70329,73075,37151,68638,66186,45641,57362,57612,0,0,58852,57221,59385,60081,58178,54290
2014/2/6,114497,32319,120292,67919,0,50239,40872,117930,109503,0,39025,52476,0,36680,83056,0,63345,45123,34646,89161,67993,88472,84540,84034,80593,0,0,0,75492,76071,43386,70176,34016,29520,63791,66824,31481,62992,59944,37220,51410,50974,0,0,52880,51969,53274,54450,53180,49098
2014/2/11,115889,33915,121106,66911,0,50306,42848,119641,111158,0,42485,54593,0,38469,85998,0,64294,49635,37326,91267,70434,90318,87424,86197,82338,0,0,0,77057,78190,44805,72736,35905,32104,65835,68710,33261,64087,62698,37631,53385,52514,0,0,54532,53782,54707,55670,54595,50905
2014/2/16,112816,30698,118907,64841,0,45940,41629,118158,111027,0,43995,53216,0,37516,84846,0,62722,51877,36982,89847,69826,87656,85205,84737,81783,0,0,0,76878,77023,42447,72034,34291,28764,63672,67883,32053,62773,61055,33211,51732,50294,0,0,53404,52468,53346,54814,52056,48820
2014/2/21,113331,33161,121239,61911,0,46432,39845,118803,111306,0,45458,53800,0,36990,86761,0,59409,55417,34863,91045,68198,88634,84817,85969,79799,0,0,0,75853,76932,41793,72042,35358,29382,66323,67963,32620,63482,61935,33589,50576,48271,0,0,53353,52341,54494,54024,53324,49539
2014/2/26,128249,43996,133130,73720,0,57336,52758,131538,122453,0,63652,69353,0,47387,100151,0,71883,68381,46627,102024,81867,102550,98937,98052,95293,0,0,0,88593,88207,53525,85783,47584,41760,79291,78826,45401,76459,72577,46195,63171,59953,0,0,64987,65156,68326,64839,67738,62287
2014/3/1,123876,40828,129093,66719,0,54722,51417,127296,120220,0,63229,64676,0,45993,99942,0,67381,69227,45010,100111,79698,99511,96690,95694,92332,0,0,0,85369,87633,51639,80245,44129,40018,74925,76332,42023,72886,69525,42384,62812,58353,0,0,62924,61965,63333,61172,63042,58219
2014/3/6,113572,32027,120769,55034,0,44397,39835,118503,110656,0,56206,57193,0,36278,89464,0,58391,63995,34292,89669,69685,89282,86921,86172,81489,0,0,0,76647,77321,41232,70965,34352,30446,65285,67802,33620,63798,61989,32261,52619,47788,0,0,53553,53159,55527,52590,53555,50066
2014/3/11,116325,36773,124021,57491,0,46792,44741,123849,112927,0,62159,60339,0,39240,95210,0,60240,69678,39020,94126,73988,93207,88829,89743,84762,0,0,0,78888,81269,45385,74125,37992,34128,69037,71382,37191,67567,65516,36047,56652,50221,0,0,57670,57507,60604,52954,58043,52381
2014/3/16,125203,41921,132225,62271,0,52304,51583,129158,120725,0,73153,68448,0,47803,104280,0,68372,81974,46334,100819,82903,102646,97104,98270,94406,0,0,0,88228,88921,50218,83070,45668,41161,75175,78569,46859,72989,73866,41824,63526,56804,0,0,64511,62998,66870,59973,65911,60424
2014/3/21,117291,37396,127268,57976,0,45391,45794,127263,114309,0,70529,64762,0,41811,98567,0,60651,76508,40635,97588,75533,96816,91026,90941,86695,0,0,0,81749,80914,46943,77033,40715,36023,70985,73341,41324,67830,67435,37096,59339,48682,0,0,58829,58451,59669,53513,61309,54215
2014/3/26,126430,50373,135624,67163,0,57197,55138,135177,123596,0,82386,73090,0,50939,107244,0,70769,91322,50495,104644,87171,107698,102081,100883,98018,0,0,0,91166,92356,54987,86099,49751,46768,80991,85006,49932,80071,78891,45386,65847,59999,0,0,68941,67557,69886,65067,67105,62438
2014/4/1,123069,42084,130923,58917,0,54780,48369,132041,120867,0,81312,68862,0,46193,102707,0,66054,84933,44673,102168,83229,100410,96380,94342,90430,0,0,0,85748,87410,52765,80806,43351,43467,77925,79012,48270,72539,71211,39281,61905,54760,0,0,61828,64626,68523,59335,63341,60493
2014/4/6,121828,39501,126896,52286,0,59314,49014,128988,117162,0,80489,69270,0,45726,102364,0,61812,89241,43435,97353,79950,97651,97231,93855,92085,0,0,0,86317,84030,51118,79495,42203,37983,74546,73637,46774,69954,69984,40626,61346,49900,0,0,58902,61190,63312,54344,61204,54307
2014/4/11,118255,39509,129510,51948,0,61798,48300,127124,119304,0,81790,71575,0,41631,102291,0,60403,90425,43393,98041,78827,97603,91990,94003,89446,0,0,0,86484,87464,52571,80005,42674,39217,71896,74837,43034,71604,71597,37863,64691,45142,0,0,61880,62621,61549,54005,63409,56759
2014/4/16,120856,42798,134730,57380,0,70617,50269,135150,121134,0,91890,72723,0,45772,107659,0,63452,97585,47436,99931,87708,103675,102337,96933,96312,0,0,0,89224,92095,60567,81669,47592,44041,76645,77500,46532,76558,77379,46620,63171,48177,0,0,63651,63614,67545,57030,66134,58000
2014/4/21,123842,48046,132280,59692,0,77979,53947,134651,126658,0,94096,72746,0,48821,107166,0,63796,97830,51994,102608,89600,103577,102091,98213,94766,0,0,0,88599,93360,64857,86414,50134,45805,76620,80485,52351,74241,78284,47234,68429,50266,0,0,64696,66690,72980,58309,67069,62208
2014/4/26,130892,47932,141155,60971,0,91462,59537,136908,129762,0,102997,80999,0,53270,118285,0,70203,102196,53873,112170,90055,106346,104016,103112,104076,0,0,0,93686,96008,76442,91580,55285,50289,85348,88114,54457,81907,81633,49906,69993,58012,0,0,71132,75787,74245,64054,70711,67480
2014/5/1,125262,46914,132434,54788,0,91372,53348,136427,122334,0,99507,74578,0,54306,111852,0,63314,102534,51471,106455,92055,105314,104152,100866,94529,0,0,0,92437,88653,70983,83853,54842,46050,80429,84416,54099,78076,75856,42925,66663,53937,0,0,69602,65964,74308,60034,71316,62235
2014/5/6,118300,46207,130376,55089,0,93641,51307,134835,121735,0,98406,74025,0,44038,111908,0,60151,96932,46125,105327,85414,105175,100985,97563,91656,0,0,0,92214,92928,73501,81349,48694,49061,80574,76762,52395,75808,76972,42954,64121,45104,0,0,63268,67788,68515,55169,70376,61935
2014/5/11,127546,49148,133203,54173,0,98413,57101,136985,129907,0,105331,77331,0,53558,115805,0,64517,103550,54994,104778,87123,107232,103100,104082,97302,0,0,0,95549,92851,78509,86106,55719,48480,79447,80628,57002,80921,76373,49142,73132,49803,0,0,71066,69672,73287,60229,72885,63355
2014/5/16,124326,51342,140062,57645,0,101104,55980,137386,129158,0,107727,78696,0,52979,113611,0,59548,107424,53110,102428,93026,110530,100112,102197,97782,0,0,0,90827,88998,81578,85630,52194,55176,81594,80813,53475,80223,77562,42786,71535,51281,0,0,64808,67336,76575,55384,70013,67849
2014/5/21,121932,49088,139806,60934,0,112706,73265,139709,126281,0,109300,81499,0,54127,118145,0,70013,106900,57409,109202,90631,108150,109925,106206,105023,0,0,0,96887,100107,84402,93656,63955,54532,83083,90974,58056,81741,78085,53016,69792,49717,0,0,75111,71005,79704,58113,73828,64029
2014/5/26,126443,52026,147427,62355,0,122134,90659,142011,135763,0,112943,86141,0,61761,116314,0,70437,112415,60131,112612,95129,114125,109463,105464,99990,0,0,0,99788,104473,90059,92276,67714,60520,83978,86610,64868,88772,80057,54651,73566,55710,0,0,70536,75267,76089,58790,81809,66942
2014/6/1,130615,58846,143569,64609,0,124846,104077,149157,133618,0,125146,95478,0,60081,121800,0,74367,115188,63426,113881,102683,110614,109630,111516,106194,0,0,0,104329,103259,97781,94066,69685,63323,92577,88984,63833,87702,90115,60649,75634,61095,0,0,81336,83750,86182,61816,83561,75358
2014/6/6,128299,55819,144557,79862,0,125768,121425,152321,141843,0,125506,94942,0,57178,127754,0,66722,115874,61953,121210,100092,113417,114249,110144,111567,0,0,0,101878,106571,95620,94568,75665,71295,93985,94082,63706,91815,87883,57818,75118,54712,0,0,77578,79018,83737,60795,85565,73276
2014/6/11,123418,49330,137514,76219,0,123721,132277,142301,136554,0,114311,87827,0,62764,123261,0,68878,118714,60947,108133,95534,114047,104355,104013,99805,0,0,0,100601,104143,91241,90262,71392,68814,80739,88851,59077,89621,86997,47404,72861,49754,0,0,77753,75667,81750,56884,73553,71255
2014/6/16,117407,51480,145455,92389,0,125917,131309,147770,134916,0,123006,87372,0,57319,115866,0,61868,111129,61317,112614,93068,115749,109488,103622,107819,0,0,0,94554,97205,91723,90090,68446,63681,81397,87646,61449,86116,82114,47881,72173,50995,0,0,72989,73146,83284,60584,75725,73199
2014/6/21,126348,54373,141227,103389,0,126477,147867,149273,136457,0,123996,90546,0,60199,125237,0,74091,119876,66629,115773,103113,112599,113714,117632,112208,0,0,0,106237,98689,98900,101167,73458,66627,85742,88911,64132,93586,89726,51583,84551,62073,0,0,72118,76682,90000,67386,78636,67475
2014/6/26,126791,57128,149745,109514,0,134402,148608,143851,139036,0,129741,91402,0,66040,128080,0,72239,123172,64125,121258,101650,118380,112039,116461,108437,0,0,0,108106,103920,102673,100512,71927,75607,82988,97147,64118,91411,84347,61377,81748,58429,0,0,74327,78632,85313,64558,84445,69530
2014/7/1,123209,59938,148818,118763,0,134310,151154,142208,137957,0,122788,94857,0,60163,126242,0,74299,119619,58288,118656,100567,112833,112054,112430,106809,0,0,0,104822,109601,106792,98753,75008,78942,91496,87831,69488,87917,88211,55185,78901,63537,0,0,82141,80104,84764,62007,78800,78827
2014/7/6,128769,64818,148485,130607,0,138555,157910,151790,145547,0,128789,99188,0,66455,135359,0,68909,123993,68340,117582,104711,117138,114882,115230,113874,0,0,0,109836,108646,109765,102283,80155,77741,85174,98632,73408,91782,90537,59929,86816,59212,0,0,84716,83632,89255,71672,83163,76671
2014/7/11,116156,62607,147574,137811,0,136993,151460,146250,132958,0,128796,96131,0,62576,124314,0,65243,125602,68403,123593,99908,120178,114316,113674,105416,0,0,0,106939,103214,100510,106241,79151,75982,85967,98711,68023,90444,95530,63459,85596,58902,0,0,83347,84028,89221,63511,89253,72206
